origin_airport_code,dest_airport_code,airport_name,latitude,longitude
K01A,K01A,Afognak Lake Airport,58.10944444,-152.9066667
K03A,K03A,Bear Creek Mining Strip,65.54805556,-161.0716667
K04A,K04A,Lik Mining Camp,68.08333333,-163.1666667
K05A,K05A,Little Squaw Airport,67.57,-148.1838889
K06A,K06A,Kizhuyak Bay,57.74527778,-152.8827778
K07A,K07A,Klawock Seaplane Base,55.55472222,-133.1016667
K08A,K08A,Elizabeth Island Airport,59.15694444,-151.8291667
K09A,K09A,Augustin Island,59.36277778,-153.4305556
K1B1,K1B1,Columbia County,42.28888889,-73.71027778
K1B1,K1B1,Columbia County,42.29138889,-73.71027778
K1G4,K1G4,Grand Canyon West,35.99027778,-113.8163889
K1G4,K1G4,Grand Canyon West,35.98611111,-113.8169444
K1G4,K1G4,Grand Canyon West,35.99027778,-113.8163889
K1G4,K1G4,Grand Canyon West,35.98611111,-113.8169444
K1N7,K1N7,Blairstown Airport,40.97111111,-74.9975
K8F3,K8F3,Crosbyton Municipal,33.62388889,-101.2408333
KA01,KA01,Blair Lake,64.36416667,-147.3613889
KA01,KA01,Blair Lake,64.36361111,-147.3638889
KA02,KA02,Deadmans Bay Airport,57.06666667,-153.9377778
KA03,KA03,Hallo Bay Airport,58.4575,-154.0233333
KA04,KA04,Red Lake Airport,57.27722222,-154.3422222
KA05,KA05,Shell Lake Airport,61.96388889,-151.5558333
KA06,KA06,Navigator Airstrip,65.65555556,-165.3563889
KA07,KA07,Roland Norton Memorial Airstrip,66.76583333,-160.1525
KA07,KA07,Roland Norton Memorial,66.76611111,-160.1527778
KA08,KA08,Pillar Bay Airport,56.59805556,-134.2427778
KJOH,KJOH,Johnstone Point Airport,60.48138889,-146.5822222
KA09,KA09,Johnstone Point Airport,60.48222222,-146.5822222
KA09,KA09,Johnstone Point Airport,60.48166667,-146.5841667
KA09,KA09,Johnstone Point Airport,60.48222222,-146.5822222
KA09,KA09,Johnstone Point Airport,60.48166667,-146.5841667
KTLK,KTLK,Tikchik Lodge Airport,59.95555556,-158.4805556
KKTH,KKTH,Tikchik Lodge Airport,59.95555556,-158.4805556
KA11,KA11,Bell Creek Airport,60.78388889,-159.5402778
KA12,KA12,Cinnabar Airport,60.78527778,-158.8644444
KA13,KA13,Mountaintop Mine Airport,61.39027778,-157.9955556
KA14,KA14,Whitebear Airport,61.18888889,-159.8583333
KA15,KA15,Puviaq Airport,70.71861111,-154.3883333
KA15,KA15,Puviaq Airport,70.71555556,-154.4069444
KA16,KA16,Arley Lake Airport,70.74694444,-155.3608333
KA17,KA17,Port Vita Airport,58.06555556,-153.0725
KA18,KA18,Kantishna Airport,63.54166667,-150.9938889
KA18,KA18,Kantishna Airport,63.54111111,-150.995
KA18,KA18,Kantishna Airport,63.54166667,-150.9938889
KA18,KA18,Kantishna Airport,63.54111111,-150.995
KA20,KA20,Alpine Airstrip,70.34416667,-150.9447222
KA21,KA21,Serpentine Airport,65.85138889,-164.7027778
KA22,KA22,Driftwood Bay Airport,53.97277778,-166.8569444
KA23,KA23,Bradley Lake Airport,59.77611111,-151.9636111
KA24,KA24,Chilkat Lake Airport,59.33166667,-135.8966667
KA25,KA25,Nugget Creek Airport,59.28833333,-136.1738889
KA26,KA26,Ivotuk Airstrip,68.48333333,-155.7333333
KA27,KA27,Pogo Mines Airport,64.44,-144.9363889
KA28,KA28,Ayakulik River Airport,57.25388889,-154.4222222
KA29,KA29,Kiluda Bay Airport,57.32305556,-153.1494444
KA30,KA30,Terror Lake Airport,57.96388889,-153.0583333
KA31,KA31,Selief Bay Airport,58.98277778,-153.1833333
KA34,KA34,Laura Lake Airport,58.36194444,-152.3122222
KA36,KA36,Deep Bay Airport,55.56027778,-131.6555556
KA37,KA37,Kako Airport,61.89888889,-161.4380556
KA37,KA37,Kako Airport,61.89888889,-161.4397222
KA38,KA38,Molly Creek Airport,64.09722222,-143.2666667
KA39,KA39,Ptarmigan Lake Airport,61.86611111,-141.1597222
KA40,KA40,Cape Simpson Airport,71.05694444,-154.7283333
KA41,KA41,Kogru River Airport,70.57611111,-152.2711111
KA41,KA41,Kogru River Airport,70.57472222,-152.2588889
KA42,KA42,Teshepkuk Lake Airport,70.35833333,-153.1966667
KA43,KA43,Trident Basin Seaplane Base,57.78083333,-152.3911111
KA45,KA45,Lake Florence Airport,57.81666667,-134.5833333
KA46,KA46,Lake Hasselborg Airport,57.7,-134.2666667
KA47,KA47,Distin Lake Airport,57.61666667,-134.3666667
KA48,KA48,Port Hobron Airport,57.15,-153.15
KA49,KA49,Mooseville Airstrip Airport,70.28444444,-152.2119444
KA50,KA50,Big Bay Airport,58.5625,-152.5961111
KA51,KA51,Wien Lake Airport,64.35277778,-151.275
KA52,KA52,Silver Salmon Creek Airport,59.96388889,-152.6822222
KA53,KA53,Blear Lake Airport,64.33333333,-147.5
KA54,KA54,Cannery Bay Airport,53.68333333,-166.75
KA56,KA56,Johnsons Landing,56.03666667,-160.2661111
KVZK,KVZK,International Seafoods Airport,58.26666667,-157.5333333
KA57,KA57,International Seafoods Airport,58.26666667,-157.5333333
KA58,KA58,Cosna River Airport,64.5,-151.6666667
KA59,KA59,Ivatuk Airport,68.48777778,-155.7575
KA61,KA61,Cape Sarichef AFS,54.58333333,-164.9125
KA61,KA61,Cape Sarichef Airport,54.5825,-164.9144444
KA62,KA62,Taylor Mountain,60.86777778,-157.3919444
KA63,KA63,Coal Creek,65.31111111,-143.1352778
KA63,KA63,Coal Creek,65.31138889,-143.1355556
KA63,KA63,Coal Creek,65.31166667,-143.1341667
KA63,KA63,Coal Creek,65.31138889,-143.1355556
KA63,KA63,Coal Creek,65.31166667,-143.1341667
KA65,KA65,Karluk Portage Airport,57.53833333,-154.1644444
KA66,KA66,Hope Airport,60.90555556,-149.6238889
KA66,KA66,Hope Airport,60.90416667,-149.6238889
KA66,KA66,Hope Airport,60.90722222,-149.6227778
KA66,KA66,Hope Airport,60.90416667,-149.6238889
KA66,KA66,Hope Airport,60.90722222,-149.6227778
KA67,KA67,Viekoda Bay Airport,57.84944444,-153.1152778
KA69,KA69,Cathedral Strip,55.74,-162.1252778
KA70,KA70,Village Islands Airport,57.77416667,-153.5447222
KA71,KA71,Bear Cove Farm,59.73833333,-151.03
KA72,KA72,Chinitna Bay Airport,59.83333333,-152.5847222
KA73,KA73,McKinley National Park,63.7325,-148.9105556
KA74,KA74,Dog Fish Bay,59.24111111,-151.8772222
KA75,KA75,Malina Bay Airport,58.17194444,-152.8941667
KA76,KA76,Red Fox Bay Airport,58.46444444,-152.5930556
KA77,KA77,Shearwater Airport,57.34333333,-152.8972222
KA78,KA78,Lake,71.03,-154.4436111
KA79,KA79,Cape Simpson No. 1,71.50166667,-154.0338889
KA80,KA80,Cape Simpson No. 7,70.57388889,-155.3213889
KA81,KA81,Cape Simpson #1,70.66277778,-154.8366667
KA82,KA82,Nikiski Private Airstrip,60.69027778,-151.2888889
KA83,KA83,Petrof Point Airport,59.37638889,-150.765
KA84,KA84,Denali West Lodge Private,63.75555556,-147.93
KA85,KA85,Big River Airport,61.85944444,-154.2766667
KA87,KA87,Carry Inlet Airport,58.58305556,-152.4458333
KA89,KA89,Montague Island Airport,59.925,-147.5166667
KA90,KA90,Shannon Pond Airport,59.03916667,-158.4638889
KA91,KA91,Omalik Lagoon Airport,69.15555556,-163.4972222
KA92,KA92,Omolik Lagoon Airport,69.14805556,-163.5102778
KA93,KA93,Bradley Lake Project Airport,59.79166667,-151.2666667
KA94,KA94,Ice Strip,70.57416667,-155.3180556
KA95,KA95,Ice Strip,70.31194444,-153.2491667
KA96,KA96,Ice Strip,70.98083333,-157.095
KA97,KA97,Akulik Air Strip,68.98555556,-163.4797222
KA98,KA98,Deadfall Air Strip,69.17083333,-163.2563889
KA99,KA99,Eagle Creek Airport,68.67666667,-162.6469444
KAA1,KAA1,Ice Kong,59.95277778,-162.6169444
KAA4,KAA4,Glacier Split,59.63333333,-151.2083333
KAA5,KAA5,Selby Lake Airport,66.95583333,-155.615
KAAA,KAAA,Anaa Airport,-17.35388889,-145.5097222
KAAA,KAAA,Anaa Airport,-17.3525,-145.51
KAAB,KAAB,Arrabury Station,-26.7,141.0416667
KAAC,KAAC,El Arish International,31.07638889,33.83333333
KAAC,KAAC,El Arish International,31.07333333,33.83583333
KAAE,KAAE,Rabah Bitat,36.82166667,7.81
KAAE,KAAE,Rabah Bitat,36.82222222,7.80944444
KAAE,KAAE,Rabah Bitat,36.82944444,7.81388889
KAAF,KAAF,Apalachicola Regional,29.7275,-85.0275
KAAF,KAAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
KAAF,KAAF,Apalachicola Regional,29.7275,-85.0275
KAAF,KAAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
KAAH,KAAH,Aachen/Merzbruck,50.82305556,6.18611111
KAAH,KAAH,Aachen/Merzbruck,50.82305556,6.18611111
KAAH,KAAH,Aachen/Merzbruck,50.82305556,6.1875
KAAH,KAAH,Aachen Merzbrueck,50.82305556,6.1875
KAAH,KAAH,Aachen Merzbruck,50.82305556,6.1875
KAAH,KAAH,Aachen Merzbrueck,50.82305556,6.1875
KAAI,KAAI,Arraias Airport,-12.91666667,-46.93333333
KAAI,KAAI,Arraias Airport,-13.025,-46.88416667
KAAI,KAAI,Arraias Airport,-13.02583333,-46.88361111
KAAI,KAAI,Arraias Airport,-13.025,-46.88416667
KAAI,KAAI,Arraias Airport,-13.02583333,-46.88361111
KAAL,KAAL,Aalborg Airport,57.09305556,9.85
KAAL,KAAL,Aalborg Airport,57.09277778,9.84916667
KAAL,KAAL,Aalborg Airport,57.09416667,9.85583333
KAAM,KAAM,Malamala,-24.80833333,31.54166667
KAAM,KAAM,Malamala,-24.81694444,31.54416667
KAAN,KAAN,Al Ain International,24.26166667,55.60916667
KAAN,KAAN,Al Ain International,24.26194444,55.6075
KAAN,KAAN,Al Ain International,24.26166667,55.60916667
KAAO,KAAO,Anaco Airport,9.43194444,-64.46388889
KAAO,KAAO,Anaco Airport,9.43027778,-64.47083333
KAAO,KAAO,Anaco Airport,9.43,-64.47083333
KAAO,KAAO,Anaco Airport,9.43027778,-64.47083333
KAAO,KAAO,Anaco Airport,9.43,-64.47083333
KAAQ,KAAQ,Vityazevo,44.9,37.31666667
KAAQ,KAAQ,Vityazevo,45.00222222,37.34722222
KAAQ,KAAQ,Anapa Airport,45.00222222,37.34722222
KAAQ,KAAQ,Vityazevo,45.00222222,37.34722222
KAAR,KAAR,Tirstrup,56.31027778,10.61805556
KAAR,KAAR,Tirstrup,56.30388889,10.62
KAAR,KAAR,Aarhus Airport,56.3,10.61888889
KAAU,KAAU,Asau W Sam,-13.51666667,-172.65
KAAX,KAAX,Araxa Airport,-19.56805556,-46.92916667
KAAX,KAAX,Araxa Airport,-19.56333333,-46.96027778
KAAX,KAAX,Romeu Zema,-19.56333333,-46.96027778
KABD,KABD,Abadan Airport,30.36611111,48.23222222
KABD,KABD,Abadan Airport,30.36611111,48.23222222
KABD,KABD,Abadan Airport,30.36527778,48.23305556
KABE,KABE,Lehigh Valley International,40.65472222,-75.43833333
KABE,KABE,Lehigh Valley International,40.65222222,-75.44027778
KABE,KABE,Lehigh Valley International,40.65222222,-75.44055556
KABE,KABE,Lehigh Valley International,40.65222222,-75.44027778
KABE,KABE,Lehigh Valley International,40.65222222,-75.44055556
KABE,KABE,Lehigh Valley International,40.6525,-75.44027778
KABI,KABI,Abilene Regional,32.40944444,-99.67972222
KABI,KABI,Abilene Regional,32.41111111,-99.68166667
KABI,KABI,Abilene Regional,32.41138889,-99.68194444
KABJ,KABJ,Abidjan Felix Houphouet Boigny International,5.25555556,-3.92916667
KABJ,KABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
KABJ,KABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
KABJ,KABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
KABJ,KABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
KABJ,KABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
KABK,KABK,Kabri Dar Airport,6.73388889,44.26611111
KABK,KABK,Kebri Dahar,6.73277778,44.24166667
KABK,KABK,Kebri Dahar,6.73277778,44.24138889
KABK,KABK,Kebri Dahar,6.73277778,44.24166667
KABK,KABK,Kebri Dahar,6.73277778,44.24138889
KABL,KABL,Ambler River,67.0875,-157.8458333
KABQ,KABQ,Albuquerque International Sunport,35.04166667,-106.6063889
KABQ,KABQ,Albuquerque International Sunport,35.04027778,-106.6091667
KABQ,KABQ,Albuquerque International Sunport,35.03888889,-106.6083333
KABQ,KABQ,Albuquerque International Sunport,35.04027778,-106.6091667
KABQ,KABQ,Albuquerque International Sunport,35.03888889,-106.6083333
KABR,KABR,Aberdeen Regional,45.44972222,-98.42166667
KABR,KABR,Aberdeen Regional,45.44916667,-98.42194444
KABR,KABR,Aberdeen Regional,45.44833333,-98.4225
KABR,KABR,Aberdeen Regional,45.44666667,-98.4225
KABR,KABR,Aberdeen Regional,45.44916667,-98.42194444
KABR,KABR,Aberdeen Regional,45.44666667,-98.4225
KABS,KABS,Abu Simbel Airport,22.37222222,31.61527778
KABS,KABS,Abu Simbel Airport,22.37472222,31.60944444
KABS,KABS,Abu Simbel Airport,22.37583333,31.61166667
KABS,KABS,Abu Simbel Airport,22.37472222,31.60944444
KABS,KABS,Abu Simbel Airport,22.37583333,31.61166667
KBBH,KBBH,Al-Baha Airport,20.29611111,41.63416667
KABT,KABT,Al-Baha Airport,20.29611111,41.63416667
KABT,KABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
KABT,KABT,Al Baha,20.29611111,41.63416667
KABT,KABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
KABT,KABT,King Saud Bin Abdulaziz,20.29833333,41.63583333
KABV,KABV,Abuja Nnamdi Azikiwe International,9.00555556,7.26611111
KABV,KABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
KABV,KABV,Nnamdi Azikiwe International,9.00666667,7.26305556
KABV,KABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
KABV,KABV,Nnamdi Azikiwe International,9.00666667,7.26305556
KABX,KABX,Albury Airport,-36.06833333,146.9766667
KABX,KABX,Albury Airport,-36.06777778,146.9580556
KABY,KABY,Southwest Georgia Regional,31.53222222,-84.19611111
KABY,KABY,Southwest Georgia Regional,31.53555556,-84.19444444
KABZ,KABZ,Aberdeen Dyce,57.20416667,-2.19861111
KABZ,KABZ,Aberdeen Dyce,57.20194444,-2.19777778
KABZ,KABZ,Aberdeen Dyce,57.2025,-2.19805556
KABZ,KABZ,Aberdeen Dyce,57.20361111,-2.19916667
KABZ,KABZ,Aberdeen Dyce,57.20194444,-2.19777778
KABZ,KABZ,Aberdeen Dyce,57.20361111,-2.19916667
KACA,KACA,General Juan N Alvarez International,16.75555556,-99.76694444
KACA,KACA,General Juan N Alvarez International,16.75694444,-99.75388889
KACB,KACB,Antrim County,44.98472222,-85.19916667
KACB,KACB,Antrim County,44.98861111,-85.19833333
KACC,KACC,Accra Kotoka International,5.59527778,-0.17083333
KACC,KACC,Accra Kotoka International,5.60444444,-0.1675
KACE,KACE,Lanzarote,28.9425,-13.60472222
KACE,KACE,Lanzarote,28.94555556,-13.60527778
KACH,KACH,St Gallen Altenrhein,47.48527778,9.56
KACH,KACH,St Gallen Altenrhein,47.485,9.56
KACI,KACI,Alderney Airport,49.70694444,-2.21527778
KACI,KACI,Alderney Airport,49.70611111,-2.21472222
KACI,KACI,Alderney Airport,49.70666667,-2.21444444
KACI,KACI,Alderney Airport,49.70666667,-2.21472222
KACI,KACI,Alderney Airport,49.70611111,-2.21472222
KACI,KACI,Alderney Airport,49.70666667,-2.21472222
KACI,KACI,Alderney Airport,49.70694444,-2.21472222
KACK,KACK,Nantucket Memorial,41.25666667,-70.05972222
KACK,KACK,Nantucket Memorial,41.25305556,-70.06027778
KACK,KACK,Nantucket Memorial,41.25305556,-70.06
KACK,KACK,Nantucket Memorial,41.25305556,-70.06027778
KACK,KACK,Nantucket Memorial,41.25305556,-70.06
KACT,KACT,Waco Regional,31.61138889,-97.22861111
KACT,KACT,Waco Regional,31.61222222,-97.23027778
KACU,KACU,Achutupo Airport,8.43333333,-77.96666667
KACV,KACV,Arcata,40.97916667,-124.1075
KACV,KACV,Arcata,40.97805556,-124.1086111
KACV,KACV,Arcata,40.97777778,-124.1083333
KACV,KACV,California Redwood Coast Humboldt County,40.97777778,-124.1083333
KACV,KACV,Arcata,40.97805556,-124.1086111
KACV,KACV,California Redwood Coast Humboldt County,40.97777778,-124.1083333
KACY,KACY,Nafec Atlantic City,39.45611111,-74.57805556
KACY,KACY,Nafec Atl,39.45666667,-74.57777778
KACY,KACY,Atlantic City International,39.4575,-74.57805556
KACY,KACY,Atlantic City International,39.4575,-74.57722222
KADA,KADA,Adana Sakirpasa,36.98361111,35.28083333
KADA,KADA,Adana International,36.98222222,35.28027778
KADB,KADB,Adnan Menderes,38.29472222,27.16
KADB,KADB,Adnan Menderes,38.29222222,27.15583333
KADC,KADC,Andakombe Airport,-7.13611111,145.7441667
KADC,KADC,Andakombe Airport,-7.13638889,145.7438889
KADC,KADC,Andakombe Airport,-7.13722222,145.745
KADD,KADD,Haile Selassie I International,8.97805556,38.79944444
KADD,KADD,Bole International,8.97805556,38.79944444
KADE,KADE,Aden International,12.82777778,45.03055556
KADE,KADE,Aden International,12.83444444,45.02888889
KADE,KADE,Aden International,12.82944444,45.02888889
KADJ,KADJ,King Abdullah Ben,31.97222222,35.99
KADJ,KADJ,Marka International,31.97222222,35.99
KADJ,KADJ,Marka International,31.97277778,35.99166667
KADK,KADK,Adak NS,51.88277778,-176.6447222
KADK,KADK,Adak,51.87805556,-176.6461111
KADK,KADK,Adak,51.87805556,-176.6458333
KADK,KADK,Adak,51.88361111,-176.6425
KADK,KADK,Adak,51.87805556,-176.6461111
KADK,KADK,Adak,51.88361111,-176.6425
KADL,KADL,Adelaide International,-34.94833333,138.5347222
KADL,KADL,Adelaide International,-34.945,138.5305556
KADM,KADM,Ardmore Municipal,34.30305556,-97.01972222
KADM,KADM,Ardmore Municipal,34.30416667,-97.02055556
KADM,KADM,Ardmore Municipal,34.30388889,-97.02055556
KADM,KADM,Ardmore Municipal,34.30416667,-97.02055556
KADM,KADM,Ardmore Municipal,34.30388889,-97.02055556
KADN,KADN,Andes Airport,5.66666667,-75.88333333
KADN,KADN,Andes Airport,5.69805556,-75.87972222
KADN,KADN,Andes Airport,5.69777778,-75.88027778
KADN,KADN,Andes Airport,5.69805556,-75.87972222
KADN,KADN,Andes Airport,5.69777778,-75.88027778
KADO,KADO,Andamooka Airport,-30.43777778,137.1372222
KADQ,KADQ,Kodiak Airport,57.75,-152.4938889
KADQ,KADQ,Kodiak Airport,57.74972222,-152.4938889
KADQ,KADQ,Kodiak Airport,57.75,-152.4938889
KADQ,KADQ,Kodiak Airport,57.74972222,-152.4938889
KADS,KADS,Addison,32.96833333,-96.83611111
KADS,KADS,Addison,32.96861111,-96.83638889
KADW,KADW,Andrews AFB,38.81083333,-76.86722222
KADW,KADW,Andrews AFB,38.81083333,-76.86694444
KADW,KADW,Joint Base Andrews,38.81083333,-76.86694444
KADW,KADW,Andrews AFB,38.81083333,-76.86694444
KADW,KADW,Joint Base Andrews,38.81083333,-76.86694444
KADX,KADX,RAF Leuchars,56.37277778,-2.86833333
KADX,KADX,RAF Leuchars,56.37277778,-2.86861111
KADX,KADX,RAF Leuchars,56.37416667,-2.86861111
KADX,KADX,RAF Leuchars,56.37277778,-2.86833333
KADX,KADX,RAF Leuchars,56.37416667,-2.86861111
KADZ,KADZ,San Andres,12.58333333,-81.7
KADZ,KADZ,Sesquicentenario,12.58305556,-81.71166667
KADZ,KADZ,Gustavo Rojas Pinilla,12.58361111,-81.71138889
KDHF,KDHF,Al Dhafra Air Base,24.24833333,54.54777778
KAED,KAED,Aleneva Airport,58.03333333,-152.9
KAEG,KAEG,Aek Godang,1.4,99.43055556
