variable,q_zeros,p_zeros,q_na,p_na,q_inf,p_inf,type,unique
year,0,0,0,0,0,0,factor,3
quarter,0,0,0,0,0,0,factor,4
month,0,0,0,0,0,0,factor,12
day_of_month,0,0,0,0,0,0,factor,31
day_of_week,0,0,0,0,0,0,factor,7
fl_date,0,0,0,0,0,0,Date,790
tail_num,0,0,0,0,0,0,character,2821
op_carrier_fl_num,0,0,0,0,0,0,factor,3176
origin_state_abr,0,0,0,0,0,0,character,52
dest_state_abr,0,0,0,0,0,0,character,52
dep_time,0,0,0,0,0,0,factor,1435
dep_delay,190143,0.04594774981852206,0,0,0,0,numeric,1558
dep_delay_new,2962337,0.7158439666679877,0,0,0,0,numeric,1493
taxi_out,0,0,0,0,0,0,numeric,180
taxi_in,548,1.3242331771640337e-4,0,0,0,0,numeric,218
arr_time,547,1.3218166932640996e-4,0,0,0,0,factor,1441
arr_delay,83703,0.020226695187620644,0,0,0,0,numeric,1572
arr_delay_new,2911547,0.703570644940221,0,0,0,0,numeric,1473
air_time,8855,0.002139796493391883,0,0,0,0,numeric,652
distance,0,0,0,0,0,0,numeric,967
carrier_delay,3822623,0.9237306935018815,0,0,0,0,numeric,1383
weather_delay,4096178,0.9898348188265361,0,0,0,0,numeric,892
nas_delay,3777917,0.9129275605788348,0,0,0,0,numeric,719
security_delay,4136433,0.9995623747657219,0,0,0,0,numeric,152
late_aircraft_delay,3870239,0.935237023239809,0,0,0,0,numeric,944
first_dep_time,4110790,0.9933657851011202,0,0,0,0,factor,1252
total_add_gtime,4110790,0.9933657851011202,0,0,0,0,numeric,235
airline,0,0,0,0,0,0,character,3
origin_airportname,0,0,280713,0.06783384450022763,0,0,character,130
origin_airport_code,0,0,0,0,0,0,character,172
dest_airportname,0,0,280802,0.06785535120693705,0,0,character,130
dest_airport_code,0,0,0,0,0,0,character,172
manufacturer,0,0,785684,0.18985927364360342,0,0,character,11
model,0,0,785684,0.18985927364360342,0,0,character,105
age,0,0,785684,0.18985927364360342,0,0,character,33
model_year,0,0,785684,0.18985927364360342,0,0,character,33
delivered,0,0,785684,0.18985927364360342,0,0,character,875
empfull,0,0,0,0,0,0,numeric,77
emppart,0,0,0,0,0,0,numeric,78
emptotal,0,0,0,0,0,0,numeric,78
empfte,0,0,0,0,0,0,numeric,78
