Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,..,..,..,..,..,21677,25021,17775,21696,25920,23532,22770,24207,10454,7334,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,4309,4481,4930,5058,5140,9412,10373.2109418273,10309.1791376912,11196,1992,..,306,1904,2935,2558,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,65940,73465,74714,77463,76001,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,..,..,..,..,..,3420.57075456399,3577.61386138614,3963.0036477332,8580,9144,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,4948,4965,5277,3361,3236,17060,12282,13072,14496,13716,13116,15482,13494,13978,13647,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,26985,26175,27746,28356,26371,39865,36533.603996772,33606.0392244309,52572,46404,40047,40928,24019,23206.966273393,21930.5831283564,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,81298,74162,79465,74649,74546,92847.5065402624,90214.5205338809,101716.268913446,145136.020724733,134521,145585,149334,146631,161862,163106,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,5939,6177,5975,6681,7632,8761,5561,6043,852,0,..,..,..,814,2133,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,2132,2276,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,342509,352909,353546,393363,403256,572906,593145.002471011,622917,641451,664970,668961,682937,672349,665384,684170,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,141968,149512,151070,150738,138942,176195,166729.997287091,162715.735981131,166251,162576,152056,149030,156761,130260,330226,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Azerbaijan,AZE,12470,12777,13039,12008,10264,9885,15082,16597,15886,21910,23781,24009,20699,19960,22254,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Bahamas, The",BHS,33211,33723,34402,33433,30267,26395,28393,30640,34188,53366,48535,49095,48017,54000,47733,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bahrain,BHR,..,..,..,..,69808,62473,60778.7162603187,63711.9791706662,52452,55980,57444,55592,54474,57094,57321,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bangladesh,BGD,7399,7971,11139,11308,16399,19299.8261758691,26535,26996.2544120399,59064,65364,55864,59728,70503,53061,58497,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belarus,BLR,5407,5646,6210,6371,5868,12101,14378,14608,17820,21168,22939,26857,29562,31676,35741,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belgium,BEL,151939,158016,173818,179019,249997,127677.532209862,131577,132099.342541943,130230,132976.52964928,141116,147324,145540,140674,137206.817,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belize,BLZ,..,..,..,..,..,19855,31755,59089,71401,112760,120072,121581,141319,125681.690865347,141329,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Benin,BEN,..,..,..,..,..,1255.45454545455,1381,1381,1728,648,1209,10,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bhutan,BTN,2467,2566,2720,2772,2706,3053.39992695398,4146.03177501826,3553,5820,8772,4640,6065,4215,5187,5067,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bolivia,BOL,25644,21978,24089,21088,19011,37019,40751.4507216495,41974.6792042443,33467,51017.0018723656,42682,45722,54102,56592,49931,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bosnia and Herzegovina,BIH,..,..,..,1004,1359,1573.54975701333,1060.06567164179,750.069402985075,552,420,81,..,..,..,108,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Botswana,BWA,8181,6905,7366,6105,6142,7681,7910.25856004678,8422.23447986064,9396,8304,7741,7933,7002,6774,6361,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brazil,BRA,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,826943,803846,832683,814301,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brunei Darussalam,BRN,11808,12381,12128,13071,12274,12333,11672,10374,10920,10392,11624,11058,10743,11310,14091,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,11768,12187,11748,11435,10111,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,1471,1512,1614,1413,1433,4235,3983.15025906736,3856.22456300177,3780,3672,3875,3861,3863,3988,4254,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,19905,19862,21086,12236,11560,10363,10658.0712931195,10555.2286515647,8148,7728,7989,8745,4868,9385,10205,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,3207,3998,4324,3667,3304,5104.72222222222,7191,7432,11897.0432386171,14732,12983,11933,14372,14387,14850,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5499,8212,5640,5550,4724,..
